Start date, End date, Profit GBP, Charges, Discharges, Trades, Profit to date GBP
['02/01/2018', '01/02/2018', 372.4, 411, 875, 643.0, 372.4]
['02/02/2018', '01/03/2018', 314.22, 352, 838, 595.0, 686.62]
['02/03/2018', '01/04/2018', 331.05, 423, 950, 686.5, 1017.6700000000001]
['02/04/2018', '01/05/2018', 340.2, 475, 838, 656.5, 1357.8700000000001]
['02/05/2018', '01/06/2018', 404.15, 520, 787, 653.5, 1762.02]
['02/06/2018', '01/07/2018', 379.93, 534, 767, 650.5, 2141.95]
['02/07/2018', '01/08/2018', 429.47, 554, 745, 649.5, 2571.42]
['02/08/2018', '01/09/2018', 433.75, 547, 763, 655.0, 3005.17]
['02/09/2018', '01/10/2018', 403.52, 498, 768, 633.0, 3408.69]
['02/10/2018', '01/11/2018', 415.61, 484, 816, 650.0, 3824.3]
['02/11/2018', '01/12/2018', 365.85, 454, 826, 640.0, 4190.150000000001]
['02/12/2018', '31/12/2018', 343.58, 424, 863, 643.5, 4533.7300000000005]
